sessionStart,sessionEnd,durationHours
2025-03-15T17:08:05.170Z,2025-03-15T17:24:49.635Z,0.28
2025-03-15T17:24:49.635Z,2025-03-15T17:25:31.704Z,0.01
2025-03-15T17:25:31.704Z,2025-03-15T18:00:17.193Z,0.58
2025-03-15T18:00:17.193Z,2025-03-15T18:00:44.840Z,0.01
2025-03-15T18:00:44.840Z,2025-03-15T18:06:04.630Z,0.09
2025-03-15T18:06:04.630Z,2025-03-15T18:07:25.276Z,0.02
2025-03-15T18:07:25.276Z,2025-03-15T18:09:23.815Z,0.03
2025-03-15T18:09:23.815Z,2025-03-15T18:09:54.364Z,0.01
2025-03-15T18:09:54.364Z,2025-03-15T18:10:20.366Z,0.01
2025-03-15T18:10:20.366Z,2025-03-15T18:10:51.334Z,0.01
2025-03-15T18:10:51.334Z,2025-03-15T18:11:54.431Z,0.02
2025-03-15T18:11:54.431Z,2025-03-15T18:14:27.791Z,0.04
2025-03-15T18:14:27.791Z,2025-03-15T18:14:53.621Z,0.01
2025-03-15T18:14:53.621Z,2025-03-15T18:15:19.851Z,0.01
2025-03-15T18:15:19.851Z,2025-03-15T18:16:33.426Z,0.02
2025-03-15T18:16:33.426Z,2025-03-15T18:17:16.679Z,0.01
2025-03-15T18:17:16.679Z,2025-03-15T18:17:48.262Z,0.01
2025-03-15T18:17:48.262Z,2025-03-15T18:18:36.113Z,0.01
2025-03-15T18:18:36.113Z,2025-03-15T18:18:56.265Z,0.01
2025-03-15T18:18:56.265Z,2025-03-15T18:19:05.330Z,0.00
2025-03-15T18:19:05.330Z,2025-03-15T18:19:25.665Z,0.01
2025-03-15T18:19:25.665Z,2025-03-15T18:19:46.592Z,0.01
2025-03-15T18:19:46.592Z,2025-03-15T18:20:58.250Z,0.02
2025-03-15T18:20:58.250Z,2025-03-15T18:21:54.594Z,0.02
2025-03-15T18:21:54.594Z,2025-03-15T18:22:58.787Z,0.02
2025-03-15T18:22:58.787Z,2025-03-15T18:25:09.745Z,0.04
2025-03-15T18:25:09.745Z,2025-03-15T18:25:29.283Z,0.01
2025-03-15T18:25:29.283Z,2025-03-15T18:28:32.207Z,0.05
2025-03-15T18:28:32.207Z,2025-03-15T18:28:37.460Z,0.00
2025-03-15T18:28:37.460Z,2025-03-15T18:29:14.112Z,0.01
2025-03-15T18:29:14.112Z,2025-03-15T18:29:50.143Z,0.01
2025-03-15T18:29:50.143Z,2025-03-15T18:33:27.017Z,0.06
2025-03-15T18:33:27.017Z,2025-03-15T18:33:52.624Z,0.01
2025-03-15T18:33:52.624Z,2025-03-15T18:35:14.263Z,0.02
2025-03-15T18:35:14.263Z,2025-03-15T18:37:06.563Z,0.03
2025-03-15T18:37:06.563Z,2025-03-15T18:38:06.220Z,0.02
2025-03-15T18:38:06.220Z,2025-03-15T18:54:43.608Z,0.28
2025-03-15T18:54:43.608Z,2025-03-15T18:55:27.206Z,0.01
2025-03-15T18:55:27.206Z,2025-03-15T18:57:50.276Z,0.04
2025-03-15T18:57:50.276Z,2025-03-15T19:01:13.607Z,0.06
2025-03-15T19:01:13.607Z,2025-03-15T19:01:19.496Z,0.00
2025-03-15T19:01:19.496Z,2025-03-15T19:05:21.709Z,0.07
2025-03-15T19:05:21.709Z,2025-03-15T19:08:09.690Z,0.05
2025-03-15T19:08:09.690Z,2025-03-15T19:08:17.552Z,0.00
2025-03-15T19:08:17.552Z,2025-03-15T19:08:19.456Z,0.00
2025-03-15T19:08:19.456Z,2025-03-15T19:10:28.417Z,0.04
2025-03-15T19:10:28.417Z,2025-03-15T19:10:44.580Z,0.00
